X--Trace 1::[V(5) - V(4) | V(PR1)],Y--Trace 1::[V(5) - V(4) | V(PR1)],,X--Trace 2::[V(1) | V(PR2)],Y--Trace 2::[V(1) | V(PR2)]
1.1528e-06,-1.9007e-13,,1.1528e-06,0
1.1628e-06,3.74811e-13,,1.1628e-06,0
1.1728e-06,-1.59872e-13,,1.1728e-06,0
1.1828e-06,-3.6593e-13,,1.1828e-06,0
1.1928e-06,-1.77636e-15,,1.1928e-06,0
1.2028e-06,-3.19744e-14,,1.2028e-06,0
1.2128e-06,-8.34888e-14,,1.2128e-06,0
1.2228e-06,1.01252e-13,,1.2228e-06,0
1.2328e-06,-6.21725e-14,,1.2328e-06,0
1.2428e-06,-9.23706e-14,,1.2428e-06,0
1.2528e-06,3.90799e-14,,1.2528e-06,0
1.2628e-06,-1.29674e-13,,1.2628e-06,0
1.2728e-06,-1.1191e-13,,1.2728e-06,0
1.2828e-06,-1.15463e-13,,1.2828e-06,0
1.2928e-06,-2.18492e-13,,1.2928e-06,0
1.3028e-06,-6.92779e-14,,1.3028e-06,0
1.3128e-06,-1.68754e-13,,1.3128e-06,0
1.3228e-06,-1.72307e-13,,1.3228e-06,0
1.3328e-06,-1.7053e-13,,1.3328e-06,0
1.3428e-06,-9.76996e-14,,1.3428e-06,0
1.3528e-06,-3.76588e-13,,1.3528e-06,0
1.3628e-06,-2.38032e-13,,1.3628e-06,0
1.3728e-06,-7.10543e-14,,1.3728e-06,0
1.3828e-06,-2.0961e-13,,1.3828e-06,0
1.3928e-06,-3.73035e-14,,1.3928e-06,0
1.4028e-06,4.61853e-14,,1.4028e-06,0
1.4128e-06,-1.04805e-13,,1.4128e-06,0
1.4228e-06,-4.26326e-14,,1.4228e-06,0
1.4328e-06,3.55271e-15,,1.4328e-06,0
1.4428e-06,3.85469e-13,,1.4428e-06,0
1.4528e-06,-1.40332e-13,,1.4528e-06,0
1.4628e-06,-1.1724e-13,,1.4628e-06,0
1.4728e-06,2.46914e-13,,1.4728e-06,0
1.4828e-06,4.61853e-14,,1.4828e-06,0
1.4928e-06,-2.84217e-14,,1.4928e-06,0
1.5028e-06,-3.97904e-13,,1.5028e-06,0
1.5128e-06,6.03961e-14,,1.5128e-06,0
1.5228e-06,-1.45661e-13,,1.5228e-06,0
1.5328e-06,-2.45137e-13,,1.5328e-06,0
1.5428e-06,6.57252e-14,,1.5428e-06,0
1.5528e-06,-1.15463e-13,,1.5528e-06,0
1.5628e-06,-3.55271e-14,,1.5628e-06,0
1.5728e-06,1.59872e-14,,1.5728e-06,0
1.5828e-06,-8.17124e-14,,1.5828e-06,0
1.5928e-06,-1.98952e-13,,1.5928e-06,0
1.6028e-06,-9.76996e-14,,1.6028e-06,0
1.6128e-06,-5.32907e-14,,1.6128e-06,0
1.6228e-06,-1.77636e-14,,1.6228e-06,0
1.6328e-06,2.84217e-14,,1.6328e-06,0
1.6428e-06,5.32907e-15,,1.6428e-06,0
1.6528e-06,1.95399e-14,,1.6528e-06,0
1.6628e-06,-8.70415e-14,,1.6628e-06,0
1.6728e-06,1.52767e-13,,1.6728e-06,0
1.6828e-06,3.55271e-14,,1.6828e-06,0
1.6928e-06,-1.98952e-13,,1.6928e-06,0
1.7028e-06,-1.9007e-13,,1.7028e-06,0
1.7128e-06,1.59872e-14,,1.7128e-06,0
1.7228e-06,-1.36779e-13,,1.7228e-06,0
1.7328e-06,-1.82965e-13,,1.7328e-06,0
1.7428e-06,-2.30926e-13,,1.7428e-06,0
1.7528e-06,2.13163e-14,,1.7528e-06,0
1.7628e-06,-1.22569e-13,,1.7628e-06,0
1.7728e-06,-1.1724e-13,,1.7728e-06,0
1.7828e-06,-3.90799e-14,,1.7828e-06,0
1.7928e-06,-3.09086e-13,,1.7928e-06,0
1.8028e-06,1.10134e-13,,1.8028e-06,0
1.8128e-06,6.39488e-14,,1.8128e-06,0
1.8228e-06,1.35003e-13,,1.8228e-06,0
1.8328e-06,-5.15143e-14,,1.8328e-06,0
